CLASS,CODE,Apply,,,,
Clover-grass mixture (with a predominance of clovers),2,1,,,,The apply filed specifies if the PGM is applied 1 or not so teh values in all DFS2 are set to 0.
Winter wheat,5,1,,,,
Winter wheat,5,1,,,,
Temporary grassland,1,0,,,,
Winter rapeseed,10,0,,,,
Winter rapeseed,3,0,,,,
Temporary grassland,19,0,,,,
Winter rapeseed,4,0,,,,
Mixture for nectar-producing fallow (eco-payment),1,0,,,,
Corn for silage,7,0,,,,
Corn for silage,9,0,,,,
Winter rapeseed,12,0,,,,
Mixture for nectar-producing fallow (eco-payment),1,0,,,,
Corn for silage,16,0,,,,
Spring barley,16,0,,,,
Mixture for nectar-producing fallow (eco-payment),1,0,,,,
