Date,infiltration
1960-01-01,-0.659937162
1960-01-02,-0.476032702
1960-01-03,-0.238007849
1960-01-04,-0.119001797
1960-01-05,-0.059500366
1960-01-06,-1.13060184
1960-01-07,-1.7915904
1960-01-08,-1.43921664
1960-01-09,-0.929219185
1960-01-10,-0.46457721
1960-01-11,-0.232280511
1960-01-12,-0.116138226
1960-01-13,-0.657583377
1960-01-14,-1.347000164
1960-01-15,-1.103963614
1960-01-16,-0.551936084
1960-01-17,-0.87764303
1960-01-18,-0.916709668
1960-01-19,-0.458323315
1960-01-20,-0.229153771
1960-01-21,-0.114574916
1960-01-22,-0.057286964
1960-01-23,-1.95858432
1960-01-24,-3.55110912
1960-01-25,-4.40211456
1960-01-26,-6.26351616
1960-01-27,-7.1442432
1960-01-28,-5.09787648
1960-01-29,-3.25859328
1960-01-30,-2.59365888
1960-01-31,-2.61868032
1960-02-01,-3.23606016
1960-02-02,-2.51486208
1960-02-03,-1.29509515
1960-02-04,-0.677605465
1960-02-05,-0.338785501
1960-02-06,-2.13249024
1960-02-07,-4.10517504
1960-02-08,-3.2272128
1960-02-09,-2.08783872
1960-02-10,-4.17083904
1960-02-11,-9.88084224
1960-02-12,-12.24834048
1960-02-13,-12.10346496
1960-02-14,-12.69485568
1960-02-15,-9.72559872
1960-02-16,-6.41253888
1960-02-17,-4.15535616
1960-02-18,-2.077056
1960-02-19,-1.038337685
1960-02-20,-0.5191284
1960-02-21,-0.259554088
1960-02-22,-0.129774516
1960-02-23,-0.064886625
1960-02-24,-0.032443154
1960-02-25,-0.214724128
1960-02-26,-1.62114048
1960-02-27,-2.31234048
1960-02-28,-2.23561728
1960-02-29,-1.707264
1960-03-01,-0.853489267
1960-03-02,-0.42671731
1960-03-03,-0.213351819
1960-03-04,-0.106674201
1960-03-05,-0.053336673
1960-03-06,-0.02666823
1960-03-07,-0.013334088
1960-03-08,0
1960-03-09,0
1960-03-10,0
1960-03-11,0
1960-03-12,-0.13524574
1960-03-13,-0.174722089
1960-03-14,-0.087359896
1960-03-15,-0.043679661
1960-03-16,-0.021839758
1960-03-17,-0.010919861
1960-03-18,0
1960-03-19,0
1960-03-20,0
1960-03-21,0
1960-03-22,0
1960-03-23,0
1960-03-24,0.00E+00
1960-03-25,0.00E+00
1960-03-26,0.00E+00
1960-03-27,0.00E+00
1960-03-28,0
1960-03-29,0
1960-03-30,0
1960-03-31,0
1960-04-01,0
1960-04-02,0
1960-04-03,0
1960-04-04,0
1960-04-05,-0.224236077
1960-04-06,-0.290233829
1960-04-07,-0.145113749
1960-04-08,-0.072556084
1960-04-09,-0.036277844
1960-04-10,-0.018138873
1960-04-11,0
1960-04-12,-0.016865245
1960-04-13,-0.226323031
1960-04-14,-0.278456666
1960-04-15,-0.13922543
1960-04-16,-0.199906984
1960-04-17,-0.225978274
1960-04-18,-0.177865362
1960-04-19,-0.281346435
1960-04-20,-0.60215634
1960-04-21,-0.769743572
1960-04-22,-0.796290712
1960-04-23,-0.659746198
1960-04-24,-0.378294562
1960-04-25,-0.189141903
1960-04-26,-0.094569612
1960-04-27,-0.047284469
1960-04-28,-0.02364215
1960-04-29,-0.011821054
1960-04-30,0
1960-05-01,0
1960-05-02,0
1960-05-03,0
1960-05-04,0
1960-05-05,0
1960-05-06,-0.119328194
1960-05-07,-0.154377336
1960-05-08,-0.077187773
1960-05-09,-0.038593662
1960-05-10,-0.019296775
1960-05-11,0
1960-05-12,-0.043427904
1960-05-13,-0.052378609
1960-05-14,-0.026189202
1960-05-15,-0.013094575
1960-05-16,-0.07868379
1960-05-17,-0.096642839
1960-05-18,-0.048321068
1960-05-19,-0.614021244
1960-05-20,-0.775523068
1960-05-21,-0.534337455
1960-05-22,-0.383605922
1960-05-23,-0.191797438
1960-05-24,-0.095897338
1960-05-25,-0.047948323
1960-05-26,-0.023974074
1960-05-27,-0.011987016
1960-05-28,0
1960-05-29,0
1960-05-30,0
1960-05-31,0
1960-06-01,0
1960-06-02,0
1960-06-03,0.00E+00
1960-06-04,0.00E+00
1960-06-05,-0.021791274
1960-06-06,-0.09805738
1960-06-07,-0.104529511
1960-06-08,-0.052264344
1960-06-09,-0.02613207
1960-06-10,-0.013066009
1960-06-11,0
1960-06-12,0
1960-06-13,0
1960-06-14,0
1960-06-15,0
1960-06-16,0
1960-06-17,-0.022832354
1960-06-18,-0.099086925
1960-06-19,-0.105952215
1960-06-20,-0.185210358
1960-06-21,-0.197642917
1960-06-22,-0.102679035
1960-06-23,-0.054404541
1960-06-24,-0.027202159
1960-06-25,-0.013601052
1960-06-26,0
1960-06-27,0
1960-06-28,0
1960-06-29,0
1960-06-30,0
1960-07-01,-0.113005346
1960-07-02,-0.146098087
1960-07-03,-0.237012051
1960-07-04,-0.248746125
1960-07-05,-0.124370743
1960-07-06,-0.06218479
1960-07-07,-0.03109225
1960-07-08,-0.015546087
1960-07-09,0
1960-07-10,0
1960-07-11,0
1960-07-12,0
1960-07-13,0
1960-07-14,0
1960-07-15,0
1960-07-16,0.00E+00
1960-07-17,0.00E+00
1960-07-18,0.00E+00
1960-07-19,0
1960-07-20,0
1960-07-21,0
1960-07-22,0
1960-07-23,0
1960-07-24,0
1960-07-25,0
1960-07-26,-0.015131239
1960-07-27,-0.031178406
1960-07-28,-0.024798303
1960-07-29,-0.012399128
1960-07-30,0
1960-07-31,0
1960-08-01,0
1960-08-02,0
1960-08-03,0
1960-08-04,0
1960-08-05,0.00E+00
1960-08-06,0.00E+00
1960-08-07,0.00E+00
1960-08-08,0.00E+00
1960-08-09,0
1960-08-10,0
1960-08-11,0
1960-08-12,0
1960-08-13,0
1960-08-14,0
1960-08-15,0
1960-08-16,0
1960-08-17,0
1960-08-18,0
1960-08-19,0.00E+00
1960-08-20,0.00E+00
1960-08-21,0.00E+00
1960-08-22,0
1960-08-23,0
1960-08-24,0
1960-08-25,0
1960-08-26,0.00E+00
1960-08-27,0.00E+00
1960-08-28,0
1960-08-29,0
1960-08-30,0
1960-08-31,0
1960-09-01,0
1960-09-02,0.00E+00
1960-09-03,0.00E+00
1960-09-04,0.00E+00
1960-09-05,0.00E+00
1960-09-06,0
1960-09-07,0
1960-09-08,0
1960-09-09,0
1960-09-10,0
1960-09-11,0
1960-09-12,0
1960-09-13,0
1960-09-14,0
1960-09-15,0
1960-09-16,0
1960-09-17,0
1960-09-18,0
1960-09-19,0
1960-09-20,0
1960-09-21,0
1960-09-22,0
1960-09-23,0
1960-09-24,0
1960-09-25,0
1960-09-26,0
1960-09-27,0
1960-09-28,-0.03457287
1960-09-29,-0.053651273
1960-09-30,-0.033958393
1960-10-01,-0.016979152
1960-10-02,0
1960-10-03,0
1960-10-04,0
1960-10-05,0
1960-10-06,0
1960-10-07,0
1960-10-08,0
1960-10-09,0.00E+00
1960-10-10,0.00E+00
1960-10-11,0.00E+00
1960-10-12,0
1960-10-13,0
1960-10-14,0
1960-10-15,0
1960-10-16,-0.083266027
1960-10-17,-0.129248504
1960-10-18,-0.216660027
1960-10-19,-0.215546545
1960-10-20,-0.107771529
1960-10-21,-0.128702028
1960-10-22,-0.123780496
1960-10-23,-0.209731687
1960-10-24,-1.44446976
1960-10-25,-2.74005504
1960-10-26,-4.27548672
1960-10-27,-8.47079424
1960-10-28,-11.87771904
1960-10-29,-9.33106176
1960-10-30,-5.57093376
1960-10-31,-6.01675776
1960-11-01,-5.53817088
1960-11-02,-3.08247552
1960-11-03,-1.54082304
1960-11-04,-0.770352312
1960-11-05,-0.385153892
1960-11-06,-0.192571375
1960-11-07,-0.464308015
1960-11-08,-0.71285014
1960-11-09,-1.57759488
1960-11-10,-1.63980288
1960-11-11,-0.819782346
1960-11-12,-1.362417671
1960-11-13,-1.437696
1960-11-14,-0.718781258
1960-11-15,-0.618657399
1960-11-16,-1.146544686
1960-11-17,-1.213472254
1960-11-18,-4.20857856
1960-11-19,-8.49705984
1960-11-20,-7.1207424
1960-11-21,-3.55843584
1960-11-22,-3.43001088
1960-11-23,-4.70527488
1960-11-24,-3.70027008
1960-11-25,-1.8614016
1960-11-26,-0.930589904
1960-11-27,-0.465262466
1960-11-28,-0.232623111
1960-11-29,-0.116309523
1960-11-30,-0.058154253
1960-12-01,-0.029076999
1960-12-02,-0.014538467
1960-12-03,0
1960-12-04,0
1960-12-05,0
1960-12-06,0
1960-12-07,0
1960-12-08,-0.143306164
1960-12-09,-1.124632153
1960-12-10,-2.48583168
1960-12-11,-2.1814272
1960-12-12,-1.093269948
1960-12-13,-0.546590136
1960-12-14,-0.273283864
1960-12-15,-0.136639126
1960-12-16,-0.068318862
1960-12-17,-0.034159255
1960-12-18,-0.017079584
1960-12-19,0
1960-12-20,-0.052852486
1960-12-21,-0.065017512
1960-12-22,-0.032508597
1960-12-23,-0.307331256
1960-12-24,-2.20161024
1960-12-25,-6.64257024
1960-12-26,-6.60704256
1960-12-27,-5.22920448
1960-12-28,-5.56416
1960-12-29,-5.13741312
1960-12-30,-3.79482624
1960-12-31,-5.28850944
1961-01-01,-7.51970304
1961-01-02,-7.87843584
1961-01-03,-6.8961024
1961-01-04,-8.13514752
1961-01-05,-12.92419584
1961-01-06,-12.52205568
1961-01-07,-8.0925696
1961-01-08,-4.824576
1961-01-09,-5.66120448
1961-01-10,-5.5116288
1961-01-11,-3.08427264
1961-01-12,-1.65708288
1961-01-13,-0.828416291
1961-01-14,-0.696092991
1961-01-15,-0.571955724
1961-01-16,-0.447980268
1961-01-17,-0.756556388
1961-01-18,-0.699063395
1961-01-19,-0.349513367
1961-01-20,-0.174752101
1961-01-21,-0.087374902
1961-01-22,-0.043687163
1961-01-23,-0.02184351
1961-01-24,-0.010921737
1961-01-25,0
1961-01-26,0
1961-01-27,0
1961-01-28,0
1961-01-29,0
1961-01-30,0
1961-01-31,0.00E+00
1961-02-01,0.00E+00
1961-02-02,-0.016698334
1961-02-03,-0.021596507
1961-02-04,-0.010798235
1961-02-05,0
1961-02-06,0
1961-02-07,0
1961-02-08,-0.314222036
1961-02-09,-0.406165211
1961-02-10,-0.203076412
1961-02-11,-0.123440377
1961-02-12,-0.079118757
1961-02-13,-0.039559143
1961-02-14,-2.51140608
1961-02-15,-3.69681408
1961-02-16,-2.3680512
1961-02-17,-1.43036928
1961-02-18,-0.814508877
1961-02-19,-0.407229549
1961-02-20,-0.57000748
1961-02-21,-0.576028247
1961-02-22,-0.288001682
1961-02-23,-0.143997724
1961-02-24,-0.071998084
1961-02-25,-0.035998846
1961-02-26,-0.18968303
1961-02-27,-0.231214529
1961-02-28,-0.115605256
1961-03-01,-0.078554185
1961-03-02,-0.0557612
1961-03-03,-0.027880482
1961-03-04,-0.013940211
1961-03-05,-0.230458148
1961-03-06,-1.169176841
1961-03-07,-1.280658678
1961-03-08,-0.640267822
1961-03-09,-0.430009731
1961-03-10,-0.302288482
1961-03-11,-0.151140806
1961-03-12,-0.075569547
1961-03-13,-0.037784559
1961-03-14,-0.018892225
1961-03-15,-0.513540657
1961-03-16,-0.79382751
1961-03-17,-0.765095556
1961-03-18,-1.9222272
1961-03-19,-2.03613696
1961-03-20,-3.44480256
1961-03-21,-5.14363392
1961-03-22,-4.08388608
1961-03-23,-2.2940928
1961-03-24,-1.146848772
1961-03-25,-0.573375048
1961-03-26,-0.286675186
1961-03-27,-0.143334503
1961-03-28,-0.071666483
1961-03-29,-0.035833048
1961-03-30,-0.017916475
1961-03-31,0
1961-04-01,0
1961-04-02,0
1961-04-03,-1.97973504
1961-04-04,-2.68199424
1961-04-05,-1.43672832
1961-04-06,-0.718296436
1961-04-07,-0.359128858
